strike,time_to_expiry,moneyness,type,market_iv,solved_iv,converged
90000,0.117808,1.17075,P,0.3436,0.340877,1
105000,0.769863,1.32232,P,0.3965,0.396031,1
69000,0.00547945,0.902556,C,0.6147,0.519919,1
82000,0.0219178,1.07161,P,0.334,0.319793,1
112000,0.520548,1.42791,P,0.3983,0.397547,1
82000,0.00821918,1.07237,C,0.3714,0.32932,1
58000,0.271233,0.748737,C,0.4384,0.437094,1
79000,0.117808,1.02764,C,0.3274,0.324914,1
73500,0.00821918,0.961209,C,0.2856,0.254712,1
85000,0.060274,1.10887,C,0.3317,0.326834,1
68000,0.00821918,0.889282,P,0.5498,0.487384,1
66000,0.0219178,0.862517,P,0.4594,0.440578,1
90000,0.769863,1.13342,C,0.3908,0.390327,1
79000,0.0219178,1.03241,C,0.2951,0.283022,1
79000,0.0410959,1.0315,C,0.3054,0.298779,1
75500,0.00821918,0.987352,C,0.2218,0.196619,1
78000,0.520548,0.99444,C,0.3794,0.378759,1
77500,0.00273973,1.0139,P,0.2739,0.164235,1
85000,0.0219178,1.11082,P,0.3939,0.376744,1
73000,0.00821918,0.95467,P,0.316,0.280062,1
68000,0.194521,0.881351,P,0.3799,0.378151,1
81000,0.0410959,1.05761,P,0.3146,0.307821,1
70000,0.00547945,0.915625,C,0.5719,0.46985,1
82000,0.060274,1.06975,C,0.3163,0.311666,1
95000,0.271233,1.22638,P,0.3689,0.367569,1
81000,0.194521,1.04984,P,0.3514,0.349776,1
74000,0.0109589,0.967656,P,0.2543,0.232938,1
73000,0.00821918,0.95467,C,0.316,0.281918,1
78000,0.060274,1.01756,C,0.3119,0.307322,1
125000,0.0219178,1.63355,P,0.8225,0.01,0
55000,0.769863,0.692637,P,0.4417,0.441184,1
72000,0.0109589,0.941503,P,0.313,0.286698,1
68000,0.0109589,0.889197,C,0.4506,0.42285,1
75500,0.0109589,0.98727,P,0.2302,0.210829,1
96000,0.520548,1.22393,C,0.3819,0.381309,1
60000,0.117808,0.780497,C,0.4491,0.445877,1
76000,0.117808,0.988619,P,0.3322,0.329746,1
45000,0.117808,0.585373,C,0.6821,0.677635,1
66000,0.117808,0.858547,C,0.3839,0.381132,1
58000,0.117808,0.754481,C,0.4766,0.473212,1
70000,0.271233,0.903649,P,0.3778,0.376565,1
90000,0.117808,1.17075,C,0.3436,0.341027,1
98000,0.194521,1.27018,C,0.3764,0.374675,1
125000,0.271233,1.61366,C,0.4489,0.447481,1
40000,0.769863,0.503736,P,0.5203,0.519725,1
94000,0.117808,1.22278,P,0.3576,0.354729,1
95000,0.00273973,1.24286,P,0.9827,0.5,0
100000,0.271233,1.29091,C,0.3782,0.376979,1
62000,0.520548,0.790452,P,0.4135,0.412774,1
102000,0.0219178,1.33298,P,0.6834,0.637585,1
73500,0.0109589,0.961106,C,0.2693,0.2468,1
80000,0.194521,1.03688,C,0.3522,0.350592,1
69000,0.0109589,0.902263,C,0.4117,0.377703,1
76000,0.0410959,0.992329,C,0.3069,0.30022,1
94000,0.769863,1.18379,P,0.3915,0.391,1
92000,0.194521,1.19242,C,0.3601,0.358498,1
58000,0.271233,0.748737,P,0.4384,0.436981,1
86000,0.00273973,1.12511,P,0.7705,0.656453,1
100000,0.117808,1.30083,P,0.3896,0.386245,1
74500,0.00273973,0.974668,C,0.3416,0.211038,1
220000,0.271233,2.84001,C,0.6691,0.666926,1
80000,0.520548,1.01994,C,0.3793,0.37864,1
77000,0.0219178,1.00627,C,0.2881,0.276329,1
175000,0.0219178,2.28698,P,0.8896,0.5,0
56000,0.271233,0.722919,P,0.4581,0.456554,1
75000,0.0219178,0.980133,P,0.2953,0.283158,1
82000,0.00821918,1.07237,P,0.3714,0.323227,1
140000,0.271233,1.80728,C,0.4921,0.49055,1
72000,0.00547945,0.941797,C,0.4503,0.374786,1
71000,0.117808,0.923588,C,0.3514,0.348797,1
78500,0.00273973,1.02699,C,0.3615,0.216145,1
90000,0.0219178,1.17616,C,0.4662,0.447095,1
81000,0.00547945,1.05951,P,0.383,0.316781,1
73000,0.0219178,0.953985,C,0.3146,0.301633,1
76000,0.271233,0.981104,P,0.366,0.364806,1
250000,0.271233,3.22732,C,0.7304,0.336466,0
85000,0.769863,1.07045,C,0.3909,0.390503,1
45000,0.769863,0.566703,P,0.4893,0.488694,1
106000,0.769863,1.3349,C,0.3973,0.396889,1
70000,0.520548,0.892446,C,0.3913,0.390696,1
79500,0.0109589,1.03958,C,0.2707,0.248047,1
92000,0.194521,1.19242,P,0.3601,0.358504,1
40000,0.117808,0.520331,P,0.7553,0.7496,1
77000,0.0410959,1.00539,P,0.305,0.298379,1
108000,0.769863,1.3601,C,0.3989,0.3984,1
77500,0.00273973,1.01392,C,0.2739,0.163905,1
115000,0.769863,1.44826,P,0.4045,0.403954,1
95000,0.117808,1.23579,P,0.3618,0.358787,1
45000,0.520548,0.573715,P,0.5049,0.50401,1
108000,0.194521,1.39979,C,0.4072,0.405391,1
83000,0.194521,1.07577,C,0.3516,0.35005,1
98000,0.194521,1.27018,P,0.3764,0.374684,1
72000,0.00273973,0.941961,P,0.5474,0.327273,1
